"My Cart","My Cart"
Close,Close
"Recently added item(s)","Recently added item(s)"
"You have no items in your shopping cart.","You have no items in your shopping cart."
item,item
items,items
"View and edit cart","View and edit cart"
"Go to Checkout","Go to Checkout"
Qty,Qty
Update,Update
Price,Price
"See price before order confirmation.","See price before order confirmation."
"Quick Cart","Quick Cart"
"Important / Recommended:","Important / Recommended:"
"General Settings for QuickCart","General Settings for QuickCart"
Enable,Enable
"Open minicart after item is added","Open minicart after item is added"
"Quick Cart Header","Quick Cart Header"
Height,Height
"Background Color","Background Color"
"Text Color","Text Color"
"Quick Cart Footer","Quick Cart Footer"
"Subtotal Background Color","Subtotal Background Color"
"Subtotal Text Color","Subtotal Text Color"
